Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-March-2023,495.00,505.00,494.30,498.50,500.747382767271323813,82912,2271,41517967.00,31225,37.66,10.70,3.50
22-March-2023,482.70,498.25,482.70,497.40,493.526417047630390369,109153,3276,53869889.00,34329,31.45,15.55,14.70
21-March-2023,467.00,484.00,466.50,482.70,478.934316896725843786,200021,6318,95796921.00,77189,38.59,17.50,15.70
20-March-2023,470.95,471.20,458.10,465.30,462.056882399903987142,191641,4760,88549043.00,133298,69.56,13.10,-5.65
17-March-2023,463.30,477.20,463.30,471.20,471.990256785265229033,190081,5398,89716380.00,56151,29.54,13.90,7.90
16-March-2023,465.55,469.30,457.95,461.55,463.710179237316279378,210782,8281,97741759.00,116717,55.37,11.35,-4.00
15-March-2023,473.00,478.05,465.10,466.70,470.559916249187349420,104596,6039,49218685.00,47704,45.61,12.95,-6.30
14-March-2023,479.15,485.20,468.80,470.75,476.272298100524258725,116927,4710,55689091.00,29120,24.90,16.40,-8.40
13-March-2023,488.45,495.25,477.50,478.85,484.730827452722904632,132781,3780,64363044.00,89737,67.58,17.75,-9.60
10-March-2023,488.95,491.05,484.00,490.20,487.931802378774016468,54650,1722,26665473.00,36801,67.34,7.05,1.25
9-March-2023,495.85,496.50,490.10,491.00,493.155266757865937072,46784,1853,23071776.00,21078,45.05,6.40,-4.85
8-March-2023,490.40,496.35,488.00,495.10,492.667722558543338495,127854,4611,62989539.00,69869,54.65,8.35,4.70
6-March-2023,491.25,496.75,489.05,490.40,492.528199574151434107,135729,4254,66850360.00,85465,62.97,7.70,-0.85
3-March-2023,484.40,492.30,482.00,490.00,488.097805335154922670,171279,4836,83600904.00,107482,62.75,10.30,5.60
2-March-2023,492.00,492.00,481.60,482.80,485.243547903068497261,53316,2011,25871245.00,25847,48.48,10.40,-9.20
1-March-2023,487.25,490.75,484.40,489.70,488.040448728077105387,37974,1436,18532848.00,19911,52.43,6.35,2.45
28-February-2023,491.50,491.50,484.55,488.60,487.948978875710576180,71245,4263,34763925.00,33686,47.28,6.95,-2.90
27-February-2023,482.05,491.00,478.00,489.00,483.453542270213326310,113910,6245,55070193.00,60207,52.85,13.00,6.95
24-February-2023,487.30,489.85,482.05,483.00,484.500062610686749789,55901,2646,27084038.00,26090,46.67,7.80,-4.30
23-February-2023,495.05,495.10,485.40,486.40,489.395943581351525584,141159,7275,69082642.00,64677,45.82,9.70,-8.65
22-February-2023,501.90,501.90,492.70,495.10,495.805363184605624867,75664,2530,37514617.00,46335,61.24,9.20,-6.80
21-February-2023,510.15,514.85,500.05,501.00,505.839255923393668212,103699,4777,52455025.00,42602,41.08,14.80,-9.15
20-February-2023,504.70,522.50,500.00,507.95,510.691196233163920015,98969,3711,50542597.00,18474,18.67,22.50,3.25
17-February-2023,514.95,514.95,501.70,504.20,505.902280719381091128,49765,2266,25176227.00,16465,33.09,13.25,-10.75
16-February-2023,519.60,522.00,513.00,514.55,517.258986455638411200,32855,1786,16994544.00,12527,38.13,9.00,-5.05
15-February-2023,508.55,519.85,508.55,518.85,516.281770222075362054,87763,3804,45310437.00,40977,46.69,11.30,10.30
14-February-2023,514.60,517.25,507.85,512.90,511.985168188484647774,42274,1519,21643661.00,20873,49.38,9.40,-1.70
13-February-2023,521.05,526.00,512.35,514.45,517.175595904099758474,129593,5084,67022337.00,57465,44.34,13.65,-6.60
10-February-2023,518.80,528.35,518.00,522.55,524.017083286251762943,238947,10450,125212310.00,106211,44.45,10.35,3.75
9-February-2023,508.90,522.85,502.25,518.70,517.636371054702299420,343130,8964,177616568.00,233139,67.94,20.60,9.80
8-February-2023,483.30,509.90,483.30,508.40,500.365907384846359262,650088,12991,325281872.00,416410,64.05,26.60,25.10
7-February-2023,481.40,490.00,481.40,483.10,485.050477318812512815,175564,8890,85157402.00,75070,42.76,8.60,1.70
6-February-2023,487.00,489.60,474.00,482.45,481.110461155165671575,248051,12600,119339931.00,106775,43.05,15.60,-4.55
3-February-2023,497.90,499.00,481.15,489.10,488.239274648105288135,290783,12567,141971681.00,103865,35.72,17.85,-8.80
2-February-2023,504.00,505.10,483.10,492.75,492.971090909446899492,510739,17306,251779562.00,155027,30.35,22.00,-11.25
1-February-2023,580.05,583.75,502.60,515.50,529.225879851657289223,951041,43500,503315510.00,462694,48.65,81.15,-64.55
31-January-2023,588.00,589.25,573.60,578.95,578.424322044894251978,30828,1418,17831665.00,14374,46.63,15.65,-9.05
30-January-2023,585.55,592.10,583.30,587.60,588.050255881594933912,27161,1399,15972033.00,8554,31.49,8.80,2.05
27-January-2023,585.55,593.90,578.20,586.50,587.759520753102267864,114513,5550,67306106.00,64076,55.96,15.70,0.95
25-January-2023,589.40,591.75,580.35,585.15,584.629444616816630468,32230,1463,18842607.00,11136,34.55,11.40,-4.25
24-January-2023,590.15,594.75,588.05,589.40,591.023151137265029792,54209,2699,32038774.00,26542,48.96,6.70,-0.75
23-January-2023,595.00,597.00,585.20,589.20,589.584784719332659652,100938,4108,59511509.00,46703,46.27,11.80,-5.80
20-January-2023,605.25,608.25,588.30,590.55,599.113289658399625643,64110,2793,38409153.00,21412,33.40,19.95,-14.70
19-January-2023,603.95,610.95,602.30,605.15,607.297169430495228560,61931,2165,37610521.00,21096,34.06,8.65,1.20
18-January-2023,610.00,610.00,598.35,600.50,601.436429191064844936,73776,3015,44371574.00,35000,47.44,11.65,-9.50
17-January-2023,607.95,610.55,601.45,609.55,605.873265252683948677,26733,1213,16196810.00,10369,38.79,9.10,1.60
16-January-2023,604.05,612.25,600.00,604.10,605.508961639317671866,73982,4256,44796764.00,34826,47.07,12.25,0.05
13-January-2023,597.45,607.45,596.90,604.55,603.559843387335005744,42653,2017,25743638.00,9112,21.36,10.55,7.10
12-January-2023,600.70,605.90,594.60,597.85,598.516670892494929006,31552,1458,18884398.00,12937,41.00,11.30,-2.85
11-January-2023,597.15,605.40,594.40,599.65,600.974461008493199501,50511,2761,30355821.00,24172,47.85,11.00,2.50
10-January-2023,608.00,612.40,599.20,600.20,606.836928226106359241,64536,4207,39162828.00,35174,54.50,13.20,-7.80
9-January-2023,612.10,617.65,602.05,608.45,609.519575833286014422,70444,2686,42936997.00,16944,24.05,15.60,-3.65
6-January-2023,607.00,620.70,605.20,611.55,615.256717440974866717,262600,9518,161566414.00,131404,50.04,15.50,4.55
5-January-2023,602.45,612.05,597.95,609.45,608.279405334499344118,125785,3894,76512425.00,54245,43.13,14.10,7.00
4-January-2023,599.00,609.90,595.15,598.40,602.947750156017356009,203503,6766,122701676.00,38653,18.99,14.75,-0.60
3-January-2023,568.00,599.90,568.00,595.50,592.481577586967759831,396555,12500,234951532.00,155572,39.23,31.90,27.50
2-January-2023,568.90,571.50,561.30,570.35,568.001168565585743499,47922,3297,27219752.00,23355,48.74,10.20,1.45
30-December-2022,572.00,573.40,565.10,566.45,568.982254436390902274,28007,1674,15935486.00,9880,35.28,8.30,-5.55
29-December-2022,565.25,572.85,559.25,570.40,565.211325391948942580,50453,3252,28516607.00,25338,50.22,13.60,5.15
28-December-2022,569.95,571.05,566.40,568.20,568.281544665012406947,32240,2431,18321397.00,19577,60.72,4.65,-1.75
27-December-2022,574.15,574.15,567.40,569.95,569.747844558290641009,48018,2869,27358152.00,28130,58.58,6.75,-4.20
26-December-2022,560.20,570.45,560.20,569.35,567.483323945332187008,33731,2049,19141780.00,18464,54.74,10.25,9.15
23-December-2022,574.00,578.50,564.40,565.20,572.445027049521431543,180225,11433,103168905.00,140113,77.74,14.10,-8.80
22-December-2022,574.05,582.45,573.95,578.15,577.192561948223653345,46894,1976,27066868.00,24994,53.30,8.50,4.10
21-December-2022,582.05,589.85,571.35,575.25,580.587987102949696465,79398,4629,46097525.00,37792,47.60,18.50,-6.80
20-December-2022,584.15,584.15,578.80,579.80,580.338019262574180367,20558,1379,11930589.00,6771,32.94,5.35,-4.35
19-December-2022,572.20,586.55,572.20,584.40,582.534430026427532143,67354,3588,39236024.00,41469,61.57,14.35,12.20
16-December-2022,579.00,585.45,573.75,575.25,579.578689287376069293,27939,1611,16192849.00,11412,40.85,11.70,-3.75
15-December-2022,580.60,587.50,576.15,579.35,582.452184783226319677,35198,1780,20501152.00,14389,40.88,11.35,-1.25
14-December-2022,582.45,585.20,579.50,580.10,582.260677758214801479,50549,2903,29432695.00,30422,60.18,5.70,-2.35
13-December-2022,579.00,583.65,577.25,582.45,580.621450650564301631,27822,1419,16154050.00,10439,37.52,6.40,3.45
12-December-2022,573.30,578.00,571.40,576.40,574.611946196279260910,63267,3444,36353974.00,33490,52.93,6.60,3.10
9-December-2022,579.10,582.00,571.55,579.75,576.387527600405800560,83785,4292,48292629.00,50263,59.99,10.45,0.65
8-December-2022,582.75,582.75,573.60,577.55,576.127475201887975220,27119,1708,15624001.00,11953,44.08,9.15,-5.20
7-December-2022,589.95,590.00,579.90,581.75,584.921001820488773652,36254,1480,21205726.00,20715,57.14,10.10,-8.20
6-December-2022,585.05,595.40,585.05,586.75,588.616328831714629833,39023,1608,22969575.00,12160,31.16,10.35,1.70
5-December-2022,591.20,593.50,584.80,588.60,588.381113948255156412,85767,4800,50463683.00,55245,64.41,8.70,-2.60
2-December-2022,593.05,594.45,587.20,590.00,590.681369957476152166,87010,4960,51395186.00,54246,62.34,7.25,-3.05
1-December-2022,587.05,600.60,587.05,597.10,597.211508505841360934,97580,4562,58275899.00,62540,64.09,13.55,10.05
30-November-2022,584.80,592.95,584.80,590.40,589.225856501866062817,47694,1913,28102538.00,22725,47.65,8.15,5.60
29-November-2022,582.00,587.10,582.00,584.80,584.673021360661810100,40495,1566,23676334.00,23058,56.94,5.10,2.80
28-November-2022,582.50,593.00,582.30,585.70,588.169115726543681618,103373,4860,60800806.00,54713,52.93,10.70,3.20
25-November-2022,572.00,589.90,572.00,586.55,582.498443587648635691,148097,6032,86266272.00,59529,40.20,17.90,14.55
24-November-2022,550.00,573.35,550.00,572.45,564.488036724209615045,175579,5955,99112245.00,76913,43.81,23.35,22.45
23-November-2022,540.75,548.95,540.75,547.55,546.150263043881908770,161570,5540,88241498.00,108759,67.31,8.20,6.80
22-November-2022,532.00,540.40,532.00,539.95,536.648034301207478167,31719,1609,17021939.00,17535,55.28,8.40,7.95
21-November-2022,531.95,534.90,528.45,532.15,532.433373506221957629,68869,3958,36668154.00,32611,47.35,6.45,0.20
18-November-2022,534.95,534.95,528.10,531.75,530.423264615078179464,30123,1563,15977940.00,,,6.85,-3.20
17-November-2022,529.95,535.35,525.10,531.10,531.290922654628575800,104557,4890,55550185.00,55649,53.22,10.25,1.15
16-November-2022,528.05,531.95,525.60,528.15,527.858958514262809806,119752,6263,63212166.00,67316,56.21,6.35,0.10
15-November-2022,540.00,540.15,530.25,533.05,534.209314784122679256,119466,2415,63819850.00,15746,13.18,9.90,-6.95
14-November-2022,542.70,545.00,536.50,538.75,540.404004602137767220,53888,2144,29121291.00,16046,29.78,8.50,-3.95
11-November-2022,533.20,552.95,532.65,542.60,543.890528366571771617,264854,9436,144051582.00,138563,52.32,20.30,9.40
10-November-2022,533.00,534.65,527.00,528.25,530.465523224773091297,74920,4638,39742477.00,34711,46.33,7.65,-4.75
9-November-2022,539.95,539.95,531.00,531.75,534.191500000000000000,104000,6346,55555916.00,67070,64.49,8.95,-8.20
7-November-2022,539.20,543.20,534.80,536.25,537.747077261945103354,47216,1703,25390266.00,17407,36.87,8.40,-2.95
4-November-2022,544.00,546.00,536.55,539.20,539.414691478942213516,51050,2310,27537120.00,24120,47.25,9.45,-4.80
3-November-2022,539.20,548.35,531.75,545.30,543.793753637839659345,65286,3427,35502119.00,37586,57.57,16.60,6.10
2-November-2022,544.50,548.20,540.50,542.50,543.337807277746776704,34049,1744,18500109.00,13736,40.34,7.70,-2.00
1-November-2022,541.30,550.90,540.80,544.50,545.988115284974093264,92640,3662,50580339.00,51768,55.88,10.10,3.20
31-October-2022,533.90,541.25,531.80,540.35,536.780314394328572896,97330,4391,52244828.00,55012,56.52,9.45,6.45
28-October-2022,531.90,536.45,528.35,530.10,530.794974458097473422,57944,3274,30756384.00,25219,43.52,8.10,-1.80
27-October-2022,533.40,537.00,529.65,533.00,533.536962296398492679,97126,4636,51820311.00,41157,42.37,7.35,-0.40
25-October-2022,546.65,546.65,531.55,533.45,541.249145406463648384,780488,4847,422438463.00,745233,95.48,15.10,-13.20
24-October-2022,548.85,548.85,540.20,541.60,542.374462977002779883,15828,1052,8584703.00,,,8.65,-7.25
21-October-2022,537.60,548.15,536.60,541.75,542.832038910247177566,90259,3011,48995477.00,35617,39.46,11.55,4.15
20-October-2022,531.90,538.00,527.45,537.05,534.939085069251048977,53862,2031,28812889.00,23231,43.13,10.55,5.15
19-October-2022,531.25,535.25,529.35,530.95,532.688721529836590746,71171,3606,37911989.00,36332,51.05,5.90,-0.30
18-October-2022,526.00,532.45,523.80,531.25,528.012832866547193429,444172,2566,234528516.00,422410,95.10,8.65,5.25
17-October-2022,523.00,526.00,518.90,523.60,523.020938859986722841,1152355,2032,602705794.00,1128696,97.95,7.10,0.60
14-October-2022,530.25,533.45,522.00,522.90,525.891209157179332206,81073,4199,42635578.00,34063,42.02,11.45,-7.35
13-October-2022,527.00,527.00,518.05,520.65,520.703728648668874296,53451,2109,27832135.00,16902,31.62,8.95,-6.35
12-October-2022,522.00,528.45,520.50,526.15,524.787631188000191690,41734,2063,21901487.00,17847,42.76,7.95,4.15
11-October-2022,533.00,534.70,521.50,522.45,533.048138168544929401,1124887,2129,599618921.00,1101894,97.96,13.20,-10.55
10-October-2022,524.05,534.30,520.15,532.65,526.458800706344666351,80414,5056,42334658.00,39124,48.65,14.15,8.60
7-October-2022,529.60,533.40,526.10,527.15,529.287193324912925326,52254,2435,27657373.00,13765,26.34,7.30,-2.45
6-October-2022,534.00,539.00,528.90,529.60,534.777828934976874620,47783,2426,25553289.00,19823,41.49,10.10,-4.40
4-October-2022,523.00,532.95,522.75,531.75,529.707508182629682282,60494,2511,32044126.00,34483,57.00,10.20,8.75
3-October-2022,530.10,530.85,518.00,518.80,522.523775890924165886,65129,4497,34031451.00,26640,40.90,12.85,-11.30
30-September-2022,528.05,532.40,521.55,530.05,527.374775396119570938,55097,3046,29056768.00,19162,34.78,10.85,2.00
29-September-2022,519.00,529.85,517.30,527.65,523.061418823466695098,150068,7827,78494781.00,78813,52.52,12.55,8.65
28-September-2022,519.95,520.25,510.10,514.60,514.808490875314173314,183020,13569,94220250.00,75059,41.01,10.15,-5.35
27-September-2022,525.00,526.80,515.35,521.15,520.728379003352988784,69192,4268,36030238.00,25095,36.27,11.45,-3.85
26-September-2022,532.50,535.00,520.05,522.60,526.593634447566927969,108176,6125,56964793.00,,,14.95,-9.90
23-September-2022,542.10,544.95,537.20,539.40,540.209948592617562784,47464,2865,25640525.00,18669,39.33,7.75,-2.70
